sym,tf,dir,entry,sl,tp,rA,rB,mae_a,mae_b,at_risk,used_trap,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,SELL,68976.67,69516.11652178103,68077.59246369828,0.11162156470898828,-0.11864869305104678,0.1364,0.15198,True,True,120,120,False,False
BTCUSDT,1h,SELL,69366.75,69930.29456903737,68427.50905160439,-0.09310590812546068,-0.1182133542713387,0.14568,0.15155,True,True,120,120,False,False
BTCUSDT,1h,SELL,69799.14,70410.23450935226,68780.64915107956,0.06836498036679559,-0.19748147801403562,0.10082,0.23081,True,True,120,120,False,False
BTCUSDT,1h,SELL,71364.94,72294.46728145969,69815.72786423386,0.055709266523660254,-0.0,0.11527,0.17098,True,True,120,120,False,False
BTCUSDT,1h,SELL,71627.59,72415.03841808846,70315.17596985254,0.008695221799923583,-0.0,0.10643,0.11512,True,True,120,120,False,False
BTCUSDT,1h,SELL,71678.87,72417.32963090281,70448.1039484953,0.03091391370093424,-0.0,0.11759,0.1485,True,True,120,120,False,False
BTCUSDT,1h,SELL,73290.43,73782.25384329315,72470.72359451141,0.015551111849195389,-0.2118317706466282,0.13928,0.24517,True,True,120,120,False,False
BTCUSDT,1h,BUY,70936.27,70445.64255143797,71753.98241427005,0.9252393090216152,0.6504094345199292,0.11083,0.33711,True,True,120,120,False,False
BTCUSDT,1h,SELL,71866.59,72518.84742328487,70779.49429452521,-0.1251078701507696,-0.1437928583845923,0.1969,0.17713,True,True,120,120,False,False
BTCUSDT,1h,SELL,73149.36,73902.10700055913,71894.78166573479,-0.10764405529650607,-0.10193360212764835,0.20163,0.13527,True,True,120,120,False,False
BTCUSDT,1h,SELL,74210.11,74910.56934451353,73042.67775914414,-0.04063946771554463,-0.051951793304712196,0.12202,0.08529,True,True,120,120,False,False
BTCUSDT,1h,SELL,74500.0,75182.65168142572,73362.24719762379,0.07405242184329147,-0.0,0.1079,0.18196,True,True,120,120,False,False
BTCUSDT,1h,SELL,75013.62,75760.75265488635,73768.39890852274,-0.040327407732857784,-0.030369156059877972,0.14329,0.06667,True,True,120,120,False,False
BTCUSDT,1h,SELL,77520.59,78452.76466042934,75966.96556595109,-0.03221904421381972,-0.05594474427821957,0.10961,0.08928,True,True,120,120,False,False
BTCUSDT,1h,BUY,75222.45,74734.29596779833,76036.04005366945,1.1853324703346637,1.3289232912791848,0.70965,0.74187,True,True,120,120,False,False
BTCUSDT,1h,BUY,74280.01,73620.76665533788,75378.74890777019,1.5003653037906104,1.0618586626286743,0.14972,0.14427,True,True,120,120,False,False
BTCUSDT,1h,SELL,78743.59,79519.45963916976,77450.47393471705,0.020938119526565317,-0.0019573207237536918,0.11044,0.06667,True,True,120,120,False,False
BTCUSDT,1h,SELL,78846.62,79570.19584812535,77640.66025312441,0.03836808925671832,-0.2194770970267291,0.10882,0.25281,True,True,120,120,False,False
BTCUSDT,1h,SELL,78924.22,79539.32477965727,77899.0453672379,0.10984450405858436,-0.12272766906231203,0.13409,0.15606,True,True,120,120,False,False
BTCUSDT,1h,BUY,76743.24,76081.19850762544,77846.64248729096,-1.0,-1.0,1.00667,1.25848,True,True,84,78,True,True
BTCUSDT,1h,BUY,76066.38,75501.97643881569,77007.05260197388,0.7681776387262582,0.5870877364301147,0.307,0.55954,True,True,120,120,False,False
BTCUSDT,1h,SELL,78214.36,78901.69207221243,77068.8065463126,0.11198377010786953,-0.1534823996325387,0.1012,0.18682,True,True,120,120,False,False
BTCUSDT,1h,SELL,78568.57,79036.8836115679,77788.04731405352,-0.09813488473447328,-0.12764984600723975,0.1347,0.16098,True,True,120,120,False,False
BTCUSDT,1h,SELL,80027.26,80674.65329344377,78948.2711775937,-0.09119948142804564,-0.10493949614275384,0.12453,0.13827,True,True,120,120,False,False
BTCUSDT,1h,SELL,81285.75,81953.01326310802,80173.64456148664,-0.044606448410331664,-0.017781447620745145,0.16016,0.06667,True,True,120,120,False,False
BTCUSDT,1h,SELL,82220.47,82870.17050415541,81137.63582640764,-0.11746382604891434,-0.13124555479096375,0.1508,0.16458,True,True,120,120,False,False
BTCUSDT,1h,SELL,81271.96,81611.52280902199,80706.02198496336,-0.020370046591658322,-0.026197707066155262,0.12751,0.06667,True,True,120,120,False,False
BTCUSDT,1h,SELL,81471.13,82139.62768886192,80356.96718523014,0.13687625429852682,-0.10934016679845143,0.12045,0.14267,True,True,120,120,False,False
BTCUSDT,1h,BUY,80527.69,79918.61763776866,81542.81060371888,-1.0,-1.0,1.00667,1.26408,True,True,81,52,True,True
BTCUSDT,1h,BUY,79756.01,79185.56867901333,80706.74553497777,-1.0,-1.0,1.00667,1.26198,True,True,43,38,True,True
BTCUSDT,1h,BUY,79514.97,78865.93135488058,80596.70107519905,1.1745355663141026,1.2849645278803625,0.35165,0.36157,True,True,120,120,False,False
BTCUSDT,1h,SELL,81668.48,82432.96380406045,80394.3403265659,0.014908439232783227,-0.01834951198034163,0.10008,0.06667,True,True,120,120,False,False
BTCUSDT,1h,BUY,79150.37,78374.39042628957,80443.66928951738,-1.0,-1.0,1.00667,1.2506,True,True,64,33,True,True
BTCUSDT,1h,BUY,78130.55,77629.02981880106,78966.4169686649,-1.0,-1.0,1.00667,1.03973,True,True,45,45,True,True
BTCUSDT,1h,BUY,77895.51,77504.38091461736,78547.39180897106,1.210161701206183,1.2692070488686864,0.24608,0.26875,True,True,120,120,False,False
BTCUSDT,1h,BUY,77038.49,76502.70558894335,77931.46401842775,-1.0,-1.0,1.00667,1.02119,True,True,77,77,True,True
BTCUSDT,1h,BUY,77073.69,76554.25188006871,77939.42019988548,-1.0,-1.0,1.00667,1.11978,True,True,120,119,True,True
BTCUSDT,1h,BUY,77285.83,76756.18820847153,78168.56631921411,-1.0,-1.0,1.00667,1.25324,True,True,64,61,True,True
BTCUSDT,1h,BUY,75635.22,75138.23130865234,76463.53448557944,-1.0,-1.0,1.06889,1.08798,True,True,43,43,True,True
BTCUSDT,1h,BUY,75213.9,74738.76125994563,76005.79790009059,1.02012551888297,0.8321687658875053,0.10448,0.30293,True,True,120,120,False,False
BTCUSDT,1h,SELL,76804.99,77446.32874025349,75736.09209957754,-0.10408105901702477,-0.13630229201207295,0.14789,0.16964,True,True,120,120,False,False
BTCUSDT,1h,BUY,75326.01,74732.35832600843,76315.42945665261,-1.0,-1.0,1.08233,1.11308,True,True,92,92,True,True
BTCUSDT,1h,BUY,74449.3,73807.12220183987,75519.5963302669,-0.22917407134897952,-0.07095408935257586,0.82907,0.84665,True,True,120,120,False,False
BTCUSDT,1h,BUY,73498.0,72820.58070274822,74627.03216208631,-0.4750622469270064,-0.6418193505963783,0.60476,0.85875,True,True,120,120,False,False
BTCUSDT,1h,BUY,73541.24,72894.63680492066,74618.91199179892,-1.0,-1.0,1.00667,1.01601,True,True,71,71,True,True
