sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,70936.27,70445.64255143797,71753.98241427005,1.0395956473270467,0.9938530101300407,True,True,120,120,False,False
BTCUSDT,1h,SELL,71866.59,72518.84742328487,70779.49429452521,-0.12559070535911301,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,73149.36,73902.10700055913,71894.78166573479,-0.1081268905048457,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,74210.11,74910.56934451353,73042.67775914414,-0.041122302923869106,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,74500.0,75182.65168142572,73362.24719762379,0.0735695866349528,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,75013.62,75760.75265488635,73768.39890852274,-0.039522682385621816,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,77520.59,78452.76466042934,75966.96556595109,-0.031414318866572914,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,75222.45,74734.29596779833,76036.04005366945,1.6666666666666865,1.6666666666666567,True,True,111,111,True,True
BTCUSDT,1h,BUY,74280.01,73620.76665533788,75378.74890777019,1.666666666666674,1.5404754169482977,True,True,117,120,True,False
BTCUSDT,1h,SELL,78743.59,79519.45963916976,77450.47393471705,0.021742844873796036,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,78846.62,79570.19584812535,77640.66025312441,0.03917281460396406,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,78924.22,79539.32477965727,77899.0453672379,0.11064922940580599,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,76743.24,76081.19850762544,77846.64248729096,-1.0,-1.0,True,True,82,80,True,True
BTCUSDT,1h,BUY,76066.38,75501.97643881569,77007.05260197388,1.007145389394894,1.0729320669108429,True,True,120,120,False,False
BTCUSDT,1h,SELL,78214.36,78901.69207221243,77068.8065463126,0.11150093489951375,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,78568.57,79036.8836115679,77788.04731405352,-0.0986177199428178,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,80027.26,80674.65329344377,78948.2711775937,-0.09039475608080601,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,81285.75,81953.01326310802,80173.64456148664,-0.04508928361866621,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,82220.47,82870.17050415541,81137.63582640764,-0.11665910070168684,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,81271.96,81611.52280902199,80706.02198496336,-0.019565321244434136,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,81471.13,82139.62768886192,80356.96718523014,0.13768097964577106,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,80527.69,79918.61763776866,81542.81060371888,-1.0,-1.0,True,True,79,75,True,True
BTCUSDT,1h,BUY,79756.01,79185.56867901333,80706.74553497777,-1.0,-1.0,True,True,41,40,True,True
BTCUSDT,1h,BUY,79514.97,78865.93135488058,80596.70107519905,1.4330474829426119,1.4944507487291356,True,True,120,120,False,False
BTCUSDT,1h,SELL,81668.48,82432.96380406045,80394.3403265659,0.015713164580027188,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,79150.37,78374.39042628957,80443.66928951738,-1.0,-1.0,True,True,62,62,True,True
BTCUSDT,1h,BUY,78130.55,77629.02981880106,78966.4169686649,-1.0,-0.8489444117932735,True,True,43,120,True,False
BTCUSDT,1h,BUY,77895.51,77504.38091461736,78547.39180897106,1.2890896538182661,1.4123513028430894,True,True,120,120,False,False
BTCUSDT,1h,BUY,77038.49,76502.70558894335,77931.46401842775,-1.0,-1.0,True,True,75,75,True,True
BTCUSDT,1h,BUY,77073.69,76554.25188006871,77939.42019988548,-1.0,-0.7912609536210177,True,True,116,120,True,False
BTCUSDT,1h,BUY,77285.83,76756.18820847153,78168.56631921411,-1.0,-1.0,True,True,62,60,True,True
BTCUSDT,1h,BUY,75635.22,75138.23130865234,76463.53448557944,-1.0,-0.9151196194571098,True,True,41,120,True,False
BTCUSDT,1h,BUY,75213.9,74738.76125994563,76005.79790009059,1.2116479039994574,1.252391099805055,True,True,120,120,False,False
BTCUSDT,1h,SELL,76804.99,77446.32874025349,75736.09209957754,-0.10456389422536022,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,75326.01,74732.35832600843,76315.42945665261,-1.0,-1.0,True,True,89,89,True,True
