sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,70936.27,70445.64255143797,71753.98241427005,1.2606492769941984,1.3101608144806431,True,True,120,120,False,False
BTCUSDT,1h,SELL,71866.59,72518.84742328487,70779.49429452521,-0.1261483987392912,-0.1261483987392912,True,True,120,120,False,False
BTCUSDT,1h,SELL,73149.36,73902.10700055913,71894.78166573479,-0.10868458388501524,-0.10868458388501524,True,True,120,120,False,False
BTCUSDT,1h,SELL,74210.11,74910.56934451353,73042.67775914414,-0.04167999630406597,-0.04167999630406597,True,True,120,120,False,False
BTCUSDT,1h,SELL,74500.0,75182.65168142572,73362.24719762379,0.0730118932547653,0.0730118932547653,True,True,120,120,False,False
BTCUSDT,1h,SELL,75013.62,75760.75265488635,73768.39890852274,-0.038593193418667945,-0.038593193418667945,True,True,120,120,False,False
BTCUSDT,1h,SELL,77520.59,78452.76466042934,75966.96556595109,-0.03048482989961027,-0.03048482989961027,True,True,120,120,False,False
BTCUSDT,1h,BUY,75222.45,74734.29596779833,76036.04005366945,1.6666666666666865,1.6666666666666865,True,True,110,110,True,True
BTCUSDT,1h,BUY,74280.01,73620.76665533788,75378.74890777019,1.666666666666674,1.6666666666666152,True,True,113,113,True,True
BTCUSDT,1h,SELL,78743.59,79519.45963916976,77450.47393471705,0.0226723338407667,0.0226723338407667,True,True,120,120,False,False
BTCUSDT,1h,SELL,78846.62,79570.19584812535,77640.66025312441,0.04010230357093112,0.04010230357093112,True,True,120,120,False,False
BTCUSDT,1h,SELL,78924.22,79539.32477965727,77899.0453672379,0.11157871837277078,0.11157871837277078,True,True,120,120,False,False
BTCUSDT,1h,BUY,76743.24,76081.19850762544,77846.64248729096,-1.0,-1.0,True,True,82,82,True,True
BTCUSDT,1h,BUY,76066.38,75501.97643881569,77007.05260197388,1.3187801334475986,1.4879583789830129,True,True,120,120,False,False
BTCUSDT,1h,SELL,78214.36,78901.69207221243,77068.8065463126,0.11094324151934463,0.11094324151934463,True,True,120,120,False,False
BTCUSDT,1h,SELL,78568.57,79036.8836115679,77788.04731405352,-0.099175413323017,-0.099175413323017,True,True,120,120,False,False
BTCUSDT,1h,SELL,80027.26,80674.65329344377,78948.2711775937,-0.08946526711385062,-0.0894652671208707,True,True,120,120,False,False
BTCUSDT,1h,SELL,81285.75,81953.01326310802,80173.64456148664,-0.045646976998851466,-0.045646976998851466,True,True,120,120,False,False
BTCUSDT,1h,SELL,82220.47,82870.17050415541,81137.63582640764,-0.11572961173471971,-0.11572961173471971,True,True,120,120,False,False
BTCUSDT,1h,SELL,81271.96,81611.52280902199,80706.02198496336,-0.018635832277454044,-0.018635832277496097,True,True,120,120,False,False
BTCUSDT,1h,SELL,81471.13,82139.62768886192,80356.96718523014,0.13861046861273243,0.13861046861273243,True,True,120,120,False,False
BTCUSDT,1h,BUY,80527.69,79918.61763776866,81542.81060371888,-1.0,-1.0,True,True,77,77,True,True
BTCUSDT,1h,BUY,79756.01,79185.56867901333,80706.74553497777,-1.0,-1.0,True,True,40,40,True,True
BTCUSDT,1h,BUY,79514.97,78865.93135488058,80596.70107519905,1.5464352087275537,1.4938630672426596,True,True,120,120,False,False
BTCUSDT,1h,SELL,81668.48,82432.96380406045,80394.3403265659,0.016642653546995498,0.01664265354701485,True,True,120,120,False,False
BTCUSDT,1h,BUY,79150.37,78374.39042628957,80443.66928951738,-1.0,-1.0,True,True,62,62,True,True
BTCUSDT,1h,BUY,78130.55,77629.02981880106,78966.4169686649,-1.0,-1.0,True,True,43,43,True,True
